"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2018","85,480","85,227","85,639","84,827","","0.27%"
"08/31/2018","85,250","84,935","85,782","84,795","","0.47%"
"08/30/2018","84,853","85,112","85,397","84,625","","-0.25%"
"08/29/2018","85,066","84,208","85,237","84,182","","1.08%"
"08/28/2018","84,157","85,013","85,268","84,077","","-0.95%"
"08/27/2018","84,962","84,450","85,084","84,136","","0.74%"
"08/24/2018","84,340","83,103","84,582","82,943","","1.54%"
"08/23/2018","83,063","83,560","83,660","82,982","","-0.51%"
"08/22/2018","83,490","83,561","84,003","83,301","","-0.02%"
"08/21/2018","83,511","83,128","83,631","82,957","","0.51%"
"08/20/2018","83,086","82,981","83,204","82,668","","0.09%"
"08/17/2018","83,011","82,267","83,093","82,133","","0.93%"
"08/16/2018","82,243","82,196","83,149","81,120","","0.17%"
"08/15/2018","82,100","83,561","83,591","82,018","","-1.67%"
"08/14/2018","83,494","83,617","83,881","83,313","","-0.06%"
"08/13/2018","83,545","83,443","84,233","83,155","","0.16%"
"08/10/2018","83,409","83,374","83,859","83,180","","0.10%"
"08/09/2018","83,323","83,349","83,591","83,100","","0.04%"
"08/08/2018","83,286","83,098","83,470","82,781","","0.26%"
"08/07/2018","83,074","83,062","83,580","82,922","","0.08%"
"08/06/2018","83,004","83,189","83,502","83,039","","-0.17%"
"08/03/2018","83,141","82,896","83,730","82,784","","0.36%"
"08/02/2018","82,840","83,077","83,761","82,832","","-0.27%"
"08/01/2018","83,067","83,793","83,983","83,085","","-0.81%"
"07/31/2018","83,742","83,820","84,135","83,265","","-0.05%"
"07/30/2018","83,781","83,901","84,092","83,634","","-0.14%"
"07/27/2018","83,896","83,970","84,213","83,655","","-0.02%"
"07/26/2018","83,915","84,630","84,921","83,911","","-0.82%"
"07/25/2018","84,611","84,415","84,860","84,235","","0.26%"
"07/24/2018","84,396","84,331","84,789","84,017","","0.15%"
"07/23/2018","84,270","84,656","84,928","84,134","","-0.43%"
"07/20/2018","84,632","84,434","84,772","83,908","","0.33%"
"07/19/2018","84,358","84,234","84,830","83,718","","0.24%"
"07/18/2018","84,158","83,996","84,328","83,749","","0.24%"
"07/17/2018","83,960","85,058","85,115","83,891","","-1.23%"
"07/16/2018","85,001","85,037","85,475","84,948","","0.01%"
"07/13/2018","84,996","85,454","85,494","84,742","","-0.50%"
"07/12/2018","85,422","85,372","85,577","85,160","","0.10%"
"07/11/2018","85,340","86,348","86,432","85,313","","-1.11%"
"07/10/2018","86,297","86,358","86,759","85,852","","-0.02%"
"07/09/2018","86,315","86,359","87,031","86,297","","0.03%"
"07/06/2018","86,289","86,617","86,717","86,255","","-0.35%"
"07/05/2018","86,592","86,334","86,814","86,185","","0.36%"
"07/04/2018","86,282","85,834","86,461","85,812","","0.51%"
"07/03/2018","85,848","85,359","86,233","85,059","","0.63%"
"07/02/2018","85,309","85,814","86,058","85,175","","-0.48%"
"06/29/2018","85,717","85,931","86,044","85,404","","-0.20%"
"06/28/2018","85,890","85,935","86,570","85,752","","-0.01%"
"06/27/2018","85,899","86,029","86,464","85,691","","-0.16%"
"06/26/2018","86,041","86,241","86,373","85,582","","-0.14%"
"06/25/2018","86,159","86,308","86,570","86,040","","0.09%"
"06/22/2018","86,080","86,107","86,261","85,906","","0.01%"
"06/21/2018","86,067","86,307","86,453","85,720","","-0.23%"
"06/20/2018","86,262","87,079","87,204","86,273","","-0.90%"
"06/19/2018","87,042","86,994","87,538","86,824","","0.12%"
"06/18/2018","86,936","87,059","87,308","86,950","","-0.12%"
"06/15/2018","87,042","88,150","88,502","86,797","","-1.21%"
"06/14/2018","88,108","87,928","88,525","87,741","","0.25%"
"06/13/2018","87,885","87,453","88,036","87,358","","0.53%"
"06/12/2018","87,419","87,739","87,766","87,224","","-0.31%"
"06/11/2018","87,687","87,748","87,888","87,233","","0.05%"
"06/08/2018","87,641","87,452","88,107","87,324","","0.32%"
"06/07/2018","87,363","86,690","87,684","86,581","","0.87%"
"06/06/2018","86,612","86,971","87,146","86,578","","-0.40%"
"06/05/2018","86,956","86,653","87,310","86,569","","0.39%"
"06/04/2018","86,621","86,635","87,062","86,435","","0.02%"
"06/01/2018","86,601","87,562","87,704","86,528","","-1.00%"
"05/31/2018","87,477","87,777","88,207","87,485","","-0.29%"
"05/30/2018","87,728","88,138","88,396","87,418","","-0.35%"
"05/29/2018","88,041","87,495","88,789","87,418","","0.67%"
"05/28/2018","87,458","87,990","88,065","87,338","","-0.75%"
"05/25/2018","88,115","89,144","89,190","88,056","","-1.14%"
"05/24/2018","89,134","88,428","89,357","88,330","","0.84%"
"05/23/2018","88,389","87,826","88,812","87,810","","0.68%"
"05/22/2018","87,795","88,068","88,197","87,593","","-0.25%"
"05/21/2018","88,018","87,768","88,098","87,317","","0.25%"
"05/18/2018","87,803","87,467","88,009","87,263","","0.45%"
"05/17/2018","87,410","87,469","87,741","87,078","","-0.03%"
"05/16/2018","87,438","87,867","88,163","87,213","","-0.45%"
"05/15/2018","87,833","88,715","89,115","87,726","","-0.93%"
"05/14/2018","88,654","88,870","89,257","88,683","","-0.11%"
"05/11/2018","88,752","88,860","89,304","88,581","","-0.08%"
"05/10/2018","88,825","88,368","88,984","88,193","","0.50%"
"05/09/2018","88,384","88,254","88,623","87,931","","0.20%"
"05/08/2018","88,208","88,195","88,468","87,685","","0.00%"
"05/07/2018","88,203","87,872","88,433","87,776","","0.42%"
"05/04/2018","87,832","87,492","87,959","87,418","","0.49%"
"05/03/2018","87,407","87,015","87,853","87,004","","0.49%"
"05/02/2018","86,981","87,121","87,643","86,955","","-0.10%"
"05/01/2018","87,067","87,421","87,499","86,592","","-0.36%"
"04/30/2018","87,378","88,125","88,282","87,023","","-0.76%"
"04/27/2018","88,051","88,000","88,350","87,780","","0.10%"
"04/26/2018","87,960","88,529","88,658","87,865","","-0.63%"
"04/25/2018","88,518","88,368","88,683","88,204","","0.21%"
"04/24/2018","88,331","88,135","88,502","87,894","","0.29%"
